Description,Average branch length,Average contraction,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of paths,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width
AA0405 [dendr],123.616691943672,0.927021606168332,578.781266749999,532.918759,5,3955.7341421975,0.078559027777778,15,32,164,18,4,3,18,18,323.513085501904,261.346170867762,2023.22240142532,4,Infinity,691.3283675
AA0610 [dendr],65.6134949010148,0.939887718206372,290.574087499999,416.7080520625,5,4789.78512777408,0.05390625,34,73,237,40,7,6,40,40,225.017366411363,284.444328742836,2689.34657599044,4,Infinity,497.6874325
AA0174 [dendr],183.921155575708,0.924828626074041,617.5713628125,482.81643975,5,4046.26542266558,0.033353365384615,10,22,95,13,4,1,13,13,136.875414917854,5.46404062217825,2785.2784425125,3,4.8125,826.48456425
AA0175 [dendr],121.464694429576,0.929319216756136,1107.8545586875,470.418061999991,7,4980.0524716126,0.029296875,20,41,141,22,3,4,22,22,106.748368882912,125.427052147311,2430.66047673381,4,Infinity,519.56268325
AA0808 [dendr],117.013600223753,0.952048131263285,460.4299455,329.8370900625,4,3393.39440648882,0.069393382352941,13,29,135,17,5,3,17,17,166.246630921715,94.5750115237238,2890.7017956434,4,Infinity,452.00791650001
AA0389 [dendr],123.892285799756,0.942703286945265,398.277108,402.025367125,4,1610.59971539683,0.0703125,6,13,65,8,3,1,8,8,342.613757570643,35.746248291635,1400.07309355234,3,3,390.2188035
AA0768 [dendr],137.482189919239,0.925532279087889,710.478263999999,489.794435625,5,6049.21635644651,0.1318359375,21,44,382,24,4,7,24,24,175.426634451634,252.426579146229,4542.2975815991,4,Infinity,795.436291
AA0488 [dendr],155.189502933039,0.964978152241107,531.2880404375,330.28912675,4,2793.4110527947,0.050426136363636,8,18,61,11,4,1,11,11,446.284130794402,29.6655426222298,2536.69451081914,3,3.91666666666667,623.30474975
AA0330 [dendr],141.091794128131,0.950678878864602,609.3787205,394.81241075,4,3668.38664733141,0.07421875,11,26,137,16,6,2,16,16,851.073085838744,71.4525795954264,2446.8081392508,4,Infinity,790.22258725
AA0443 [dendr],115.034626711512,0.946952169636451,534.398628,388.585858,6,5176.55820201805,0.06375,21,45,180,25,5,4,25,25,557.371678993244,93.161987995427,3669.08026000524,4,Infinity,786.14087175
AA0178 [dendr],62.5723638089898,0.928279364166008,246.1414730625,342.691457,6,4129.77601139333,0.026041666666667,31,66,185,36,6,2,36,36,267.868832995548,34.0494149024551,2815.62058239596,4,2.76666666666667,406.4883785
AA0266 [dendr],121.734713428883,0.960603425241056,420.5125581875,373.95299875,4,3652.04140286648,0.050551470588235,14,30,94,17,4,3,17,17,118.247659699274,90.457819760952,2676.13845533912,4,Infinity,714.98048025
AA0177 [dendr],67.4486655438193,0.923277767280887,536.4365345625,447.6250715,7,3102.63861501569,0.0234375,23,46,119,24,2,9,24,24,62.7594757301363,427.873968180921,1661.34696439739,4,Infinity,637.32010425
