Description,Idx0,Idx1,Idx2,Idx3,Idx4,Idx5,Idx6,Idx7,Idx8,Idx9,Idx10,Idx11,Idx12,Idx13,Idx14,Idx15,Idx16,Idx17,Idx18,Idx19,Idx20,Idx21,Idx22,Idx23,Idx24,Idx25,Idx26,Idx27,Idx28,Idx29,Idx30,Idx31,Idx32,Idx33,Idx34,Idx35,Idx36,Idx37,Idx38,Idx39,Idx40,Idx41,Idx42,Idx43,Idx44,Idx45,Idx46,Idx47,Idx48,Idx49,Idx50,Idx51,Idx52,Idx53,Idx54,Idx55,Idx56,Idx57,Idx58,Idx59,Idx60,Idx61,Idx62,Idx63,Idx64,Idx65,Idx66,Idx67,Idx68,Idx69,Idx70,Idx71,Idx72,Idx73,Idx74,Idx75,Idx76,Idx77,Idx78,Idx79,Idx80,Idx81,Idx82,Idx83,Idx84,Idx85,Idx86,Idx87,Idx88,Idx89,Idx90,Idx91,Idx92,Idx93
"AA0405 [axon]",0.0,20.0,26.0,39.0,0.0,0.0,0.0,13.0,21.0,24.0,8.0,18.0,0.0,0.0,0.0,0.0,11.0,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,14.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"AA0610 [axon]",0.0,4.0,16.0,0.0,1.0,0.0,5.0,7.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,6.0,10.0,10.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,5.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0
"AA0174 [axon]",0.0,2.0,2.0,1.0,5.0,17.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"AA0175 [axon]",0.0,2.0,27.0,11.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
"AA0808 [axon]",0.0,1.0,3.0,5.0,23.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,10.0,1.0,15.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"AA0389 [axon]",0.0,3.0,3.0,9.0,10.0,17.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,8.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AA0768 [axon]",0.0,1.0,1.0,1.0,2.0,14.0,4.0,35.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,10.0,1.0,11.0,1.0,20.0,1.0,10.0,4.0,21.0,25.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,8.0,0.0,1.0,0.0,1.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0
"AA0488 [axon]",0.0,4.0,7.0,16.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
"AA0330 [axon]",0.0,3.0,15.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"AA0443 [axon]",0.0,1.0,1.0,39.0,58.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
