Description,Length:fr,Length:DORsm,Length:PRT,Length:DORpm,Length:LZ,Length:MRN,Length:em,Length:im,Length:drt,Length:PAG,Length:SCm,Length:MEZ,Length:SNc,Length:RN,Length:P-sat,Length:IV,Length:EW,Length:P-mot,Length:tsp,Length:mlf,Length:VTA,Length:ml,Length:MY-mot,Length:bic,Length:cpd,Length:ll,Length:opt,Length:NB,Length:PPN,Length:arb,Length:P-sen,Length:IVn,Length:SAG,Length:PVZ,Length:SNr,Length:pc,Length:PVR,Length:MY-sat,Length:V4,Length:scp,Length:AQ,Length:rust,Length:RR,Length:mtt,Length:PBG,Length:CUN,Length:fxpo,Length:RAmb,Length:III,Length:cic,Length:mtg,Length:smd,Length:st,Length:OLF,Length:HPF,Length:sAMY,Length:BLA,Length:PALd,Length:STRv,Length:STRd,Length:cing,Length:hc,Length:amc,Length:LSX,Length:EP,Length:IIIn,Length:PALv,Length:act,Length:cc,Length:df,Length:VIIn,Length:BMA,Length:IIn,Length:aco,Length:LA,Length:PALc,Length:lot,Length:MY-sen,Length:Isocortex,Length:CUL,Length:PALm,Length:sm,Length:hbc,Length:SCs,Length:lfbst,Length:mtV
"AA0405 [axon]",5290.872530957586,8443.84979030074,6909.5787810462125,14630.71279930394,2234.539697811425,4853.859208879364,777.0647962298765,3406.291776734819,102.64803450252455,2407.458042296473,1369.8575249454627,226.51742314238328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0610 [axon]",0,12235.78759282561,0,8934.348942208191,526.952341307092,12.645225022654802,0,6061.4499194388645,0,0,0,688.9847893297955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0174 [axon]",585.7128530008242,1876.3353728845766,220.0433311075598,1178.8824171340498,12271.366582894909,13498.209411790947,0,0,0,10998.042279771516,3013.922209621084,76.96960345819807,339.3892571263433,3802.6596599677778,1375.9856893756128,109.29400749225078,403.66545646734784,2276.8956178539624,214.233974879338,7333.005123659081,808.9413456528673,587.4169392262414,494.84533750513344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0175 [axon]",0,2254.3624979233837,802.8769038574649,722.8718262300814,15628.607219318274,15908.040254835314,0,0,0,12179.504557652504,5017.339214680397,4688.312800897386,1106.9636427167145,951.9008618883433,6257.792285514301,0,0,5360.546972006007,0,0,107.4814968986635,816.0820327601764,0,1146.270077436476,2362.3083621780643,3520.1268481172547,834.4821504165266,99.92778010453446,1817.1182820516512,560.6351980106045,4366.238877522321,846.510642215364,166.6336916380093,513.6616948555487,319.2593510423089,830.7290914504629,1361.9731607552997,122.78406804073936,332.2543940055303,2784.521191653306,339.1587615850065,1141.764241413036,89.87946175007525,278.90682922360594,59.61950324643888,1538.5426721728727,898.557890295904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0808 [axon]",857.5114190766254,1707.4770907271238,0,4226.998121872867,6077.196415948447,3425.9401632124254,0,0,0,33483.27320321821,5763.23368020063,3961.076639915485,0,0,0,0,339.2171657319602,0,0,1642.9463073989732,237.55876440262048,215.7565672055097,0,0,0,242.7794147569023,0,0,0,0,0,0,0,0,0,370.4872571880435,447.49118383139,0,0,0,0,0,0,288.7560498456992,0,729.8302700349042,0,281.7209424920022,121.91773532700529,379.5170675245056,169.80855541128514,85.6515433188203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0389 [axon]",193.84457250820964,0,0,0,13467.700749004858,432.08863368950375,0,0,0,6558.363132735372,0,0,0,0,3912.9316082591276,0,448.90700351879,6739.818588304009,309.43398236745145,0,926.1427149517946,0,454.0896120699323,0,204.94832230576043,3028.4669129924205,0,0,0,163.99804445441936,1029.8871517819534,0,0,0,0,0,596.8439616616512,0,0,618.4862935681261,84.05544620950468,309.3339736267237,0,0,0,535.57823627974,298.92314007421226,387.0787005119358,0,0,1051.7855572383996,0,59.46306318072345,14974.574410003237,7120.432769345619,10831.570592199929,1768.99626378306,1142.6165142911898,10079.651883391458,706.2540857198765,1349.452191950131,1048.4239059646106,1542.2470815026547,4837.403738785013,1033.6697763285536,139119.79228558028,4407.631070642808,858.320163230713,1530.0975658369182,1276.4476831026009,181.50820258355995,2323.7542117242083,124.40440085227215,293.94488994749605,652.4385622243746,256.2265614689326,468.697098193631,349.5904772062306,9227.89313759038,235.12992827017067,18873.4605428162,0,0,0,0,0
"AA0768 [axon]",2051.9880684659583,4142.690600741951,12316.826539537367,10937.336640195128,20465.655036314856,24344.45859577112,0,0,0,16559.240144318777,4360.132753471664,10786.33956262685,44.68033294194712,3738.440445751918,8441.755848273766,0,142.3254999246881,2383.8967088125587,887.2132823027233,3597.09684706407,3108.7262944184326,4051.2266297787332,1093.9346072384853,0,0,0,0,0,0,0,0,0,0,77.13257248098212,0,1395.1007669041276,715.3505858419202,0,0,0,628.6308564871138,2070.1412625638163,428.0226622891137,811.6582318439532,0,426.79415477489914,0,623.8839573565548,0,0,399.2982428280479,793.3381647919732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716.7202245785131,0,0,0,0
"AA0488 [axon]",101.63825541968325,662.3111207498736,2276.616497460224,13916.341076716177,11170.369664615177,2233.955671677162,976.5627287004904,0,0,5623.538535834624,2549.131972071454,1190.5630596644517,0,840.4555517334599,0,0,0,0,0,616.424984066865,392.81331479834375,409.9227163024034,0,0,0,0,454.84177167879596,0,0,0,0,0,0,72.5773121607934,0,606.2400957003825,241.17493670757057,0,0,0,0,0,0,916.9463357303979,0,0,0,0,0,0,0,0,110.47878729422195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.00485860542591,458.9507079739631,0,0
"AA0330 [axon]",0,566.5428701260639,0,0,220.12315745131718,0,731.1459919419732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.35244626934497,0,1523.102825190839,10919.871348592567,0,0,0,0,0,137.9674056687957,0,1921.0900093416697,0,0,0,0,0,0,0,0,0,73172.75375398004,0,0,0,0,0,0,0
"AA0443 [axon]",0,1204.6530892443484,8855.271877762414,7016.977926655418,9185.105542481457,4540.188610114885,0,0,0,9221.199784450237,35962.840090591526,3451.317521007628,651.4932474777079,0,0,0,0,0,0,0,1193.7992681354215,95.4996327703185,0,256.5789640305131,2142.056114124773,0,260.0452470587052,0,0,0,0,0,0,0,893.0782602455847,539.4464957750329,0,0,0,0,0,0,0,2805.178264922322,0,0,0,0,0,0,256.4074944889373,0,0,0,258.65074284039736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128.7871368379303,0,0
