Description,Tips:fr,Tips:PRT,Tips:DORpm,Tips:MRN,Tips:HY,Tips:TH,Tips:mfbse,Tips:MBmot,Tips:DORsm,Tips:PAG,Tips:SCm,Tips:MEZ,Tips:MB,Tips:lfbst,Tips:drt,Tips:im,Tips:SNc,Tips:RN,Tips:P-sat,Tips:LZ,"Tips:fiber tracts",Tips:EW,Tips:P-mot,Tips:pc,Tips:mlf,Tips:VTA,Tips:IIIn,Tips:ml,Tips:MY-mot,Tips:bic,Tips:AQ,Tips:P,Tips:rust,Tips:cpd,Tips:ll,Tips:cbf,Tips:cst,Tips:opt,Tips:RR,Tips:NB,Tips:MY-sat,Tips:PPN,Tips:CUN,Tips:arb,Tips:P-sen,Tips:IVn,Tips:PVZ,Tips:SAG,Tips:SNr,Tips:fxpo,Tips:int,Tips:V3,Tips:PVR,Tips:V4,Tips:IC,Tips:scp,Tips:RAmb,Tips:cic,Tips:mtg,Tips:smd,Tips:cing,Tips:PALc,Tips:amc,Tips:cc,Tips:lot,Tips:STR,Tips:HPF,Tips:MY-sen,Tips:OLF,Tips:BMA,Tips:PAL,Tips:mcp,Tips:sAMY,Tips:Isocortex,Tips:BLA,Tips:tsp,Tips:PALd,Tips:LSX,Tips:EP,Tips:CUL,Tips:STRv,Tips:PALm,Tips:PALv,Tips:sm,Tips:mtt,Tips:mfbsma,Tips:III,Tips:SCs,Tips:other,Tips:MBsta,Tips:VS
"AA0405 [axon]",38,42,1,37,1,45,4,8,61,9,16,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0610 [axon]",0,0,56,0,0,20,0,0,2,0,0,1,0,3,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0174 [axon]",0,0,3,41,6,0,0,6,4,26,16,1,8,0,0,0,2,7,1,4,1,2,8,1,28,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0175 [axon]",0,0,1,50,2,1,0,1,5,24,1,13,8,0,0,0,5,5,33,34,0,0,23,2,0,0,0,1,0,5,2,7,6,5,20,1,1,3,1,1,1,9,12,4,25,2,2,1,4,6,1,4,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0808 [axon]",1,0,17,8,19,1,0,7,0,2,22,16,3,0,0,0,0,0,0,8,0,2,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA0389 [axon]",0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,2,5,5,0,4,0,0,0,0,0,0,0,0,1,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,3,3,6,2,1,3,7,3,1,3,1,2,6,9,3,2,2,4,4,2,6,16,1,0,0,0,0,0,0,0,0
"AA0768 [axon]",11,61,4,130,8,11,2,10,15,115,30,1,23,0,1,0,2,13,26,7,4,0,4,9,6,30,0,23,1,0,7,2,20,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,14,9,0,4,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0
"AA0488 [axon]",0,4,28,3,0,7,0,0,2,1,1,6,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
"AA0330 [axon]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,103,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"AA0443 [axon]",0,83,40,25,1,2,0,6,6,71,3,21,11,0,0,0,1,0,0,26,6,0,0,3,0,12,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,13,0,1,0
